"card_id","disp_id","type","issued"
"1","9","gold","16/10/1998"
"2","19","classic","13/3/1998"
"3","41","gold","3/9/1995"
"4","42","classic","26/11/1998"
"5","51","junior","24/4/1995"
"7","56","classic","11/6/1998"
"8","60","junior","20/5/1998"
"9","76","classic","25/10/1997"
"10","77","classic","7/12/1996"
"11","79","gold","25/10/1997"
"12","83","junior","11/9/1996"
"13","87","classic","29/6/1994"
"14","112","classic","17/2/1996"
"15","114","classic","5/3/1995"
"16","116","classic","23/6/1998"
"17","127","classic","7/6/1998"
"18","128","classic","25/8/1995"
"19","130","classic","9/9/1997"
"20","131","classic","2/12/1998"
"21","132","classic","26/2/1998"
"22","138","classic","11/1/1997"
"23","146","classic","3/10/1998"
"24","153","junior","5/8/1996"
"25","158","classic","6/12/1997"
"26","161","classic","14/9/1998"
"27","167","junior","15/11/1998"
"28","174","junior","22/1/1998"
"29","192","classic","20/8/1998"
"30","202","classic","1/10/1997"
"31","208","classic","21/10/1998"
"32","219","classic","6/8/1998"
"33","221","junior","3/12/1997"
"34","225","classic","20/3/1998"
"35","231","classic","7/10/1998"
"36","236","classic","28/9/1998"
"37","238","classic","20/4/1996"
"38","242","classic","31/8/1996"
"39","254","classic","14/7/1998"
"40","255","classic","13/10/1996"
"41","256","classic","31/8/1997"
"42","264","junior","28/7/1998"
"43","267","classic","29/8/1997"
"44","268","junior","17/5/1996"
"45","272","classic","5/12/1997"
"46","273","classic","10/11/1998"
"47","280","classic","13/8/1998"
"48","295","classic","10/3/1998"
"49","305","classic","3/10/1997"
"50","309","classic","28/5/1997"
"51","321","classic","21/11/1997"
"52","326","gold","10/4/1998"
"53","333","classic","13/10/1998"
"54","334","classic","24/1/1997"
"55","335","classic","25/1/1998"
"56","339","classic","22/11/1998"
"57","347","classic","9/11/1996"
"58","358","classic","11/3/1998"
"59","365","classic","27/10/1997"
"60","370","classic","18/10/1998"
"61","374","classic","18/10/1998"
"63","378","junior","27/3/1998"
"64","402","classic","10/5/1998"
"65","414","classic","2/2/1998"
"66","425","classic","8/7/1998"
"67","429","junior","28/1/1998"
"68","434","classic","31/1/1998"
"69","438","classic","17/5/1997"
"70","439","classic","8/2/1994"
"71","441","classic","11/4/1998"
"72","447","classic","9/3/1998"
"73","451","junior","21/7/1998"
"74","453","classic","18/10/1998"
"75","457","classic","29/7/1997"
"76","464","classic","23/12/1998"
"77","466","classic","13/8/1998"
"78","468","classic","4/8/1998"
"79","469","classic","2/9/1998"
"80","471","classic","25/6/1998"
"81","473","classic","17/12/1997"
"82","474","classic","7/5/1997"
"83","483","classic","5/1/1998"
"84","487","classic","26/6/1996"
"85","489","classic","31/12/1995"
"86","490","classic","28/11/1997"
"87","493","classic","2/11/1996"
"88","496","classic","4/11/1996"
"89","497","classic","22/4/1998"
"90","503","classic","4/6/1997"
"91","504","junior","1/9/1997"
"92","508","classic","20/11/1995"
"93","510","classic","9/11/1997"
"94","513","classic","6/11/1997"
"95","519","junior","1/8/1998"
"96","528","classic","26/8/1998"
"97","531","junior","19/9/1995"
"98","537","classic","6/9/1995"
"99","548","gold","9/10/1996"
"100","562","gold","21/2/1998"
"101","566","classic","19/6/1998"
"102","575","classic","12/11/1998"
"103","584","junior","17/8/1996"
"104","588","classic","19/1/1994"
"105","590","classic","17/1/1997"
"106","592","classic","14/1/1996"
"107","593","classic","27/6/1995"
"108","597","classic","25/6/1997"
"109","605","classic","26/4/1998"
"110","608","classic","31/5/1997"
"111","615","classic","5/6/1998"
"112","626","junior","19/1/1997"
"113","629","junior","16/11/1995"
"115","638","classic","30/7/1997"
"116","646","classic","11/10/1998"
"117","649","junior","23/11/1996"
"118","652","classic","22/10/1995"
"119","655","classic","8/8/1996"
"120","662","classic","3/7/1997"
"121","666","junior","22/7/1996"
"122","667","junior","3/7/1997"
"123","679","classic","12/6/1998"
"124","688","classic","10/10/1997"
"125","694","gold","26/12/1998"
"126","707","classic","23/5/1998"
"127","714","classic","23/5/1996"
"128","716","classic","19/8/1998"
"129","719","classic","5/11/1998"
"130","722","classic","29/12/1997"
"131","725","classic","8/12/1998"
"132","731","junior","26/2/1998"
"133","742","classic","16/6/1997"
"134","769","classic","7/9/1998"
"136","778","classic","28/7/1995"
"137","786","junior","10/1/1997"
"138","791","classic","2/11/1998"
"139","797","classic","14/7/1997"
"140","798","classic","22/8/1997"
"141","808","classic","15/9/1998"
"142","810","classic","1/7/1998"
"143","816","classic","15/6/1998"
"145","819","classic","17/6/1997"
"146","822","classic","23/7/1998"
"147","826","junior","13/12/1998"
"148","834","classic","22/11/1998"
"149","858","classic","7/1/1998"
"150","859","classic","30/3/1996"
"151","861","classic","16/9/1998"
"152","876","classic","16/9/1996"
"153","886","gold","19/10/1997"
"154","887","classic","28/12/1997"
"155","900","junior","17/5/1997"
"156","906","junior","7/4/1998"
"157","907","classic","24/4/1996"
"158","928","gold","25/10/1998"
"159","946","classic","1/5/1995"
"160","954","classic","17/6/1998"
"161","963","classic","25/5/1998"
"162","967","junior","23/12/1996"
"163","984","classic","18/9/1996"
"164","992","classic","29/11/1998"
"165","996","junior","4/2/1998"
"166","999","classic","5/3/1995"
"167","1011","classic","15/9/1995"
"168","1018","classic","24/1/1995"
"169","1019","classic","10/8/1998"
"170","1020","classic","16/4/1998"
"171","1027","classic","5/3/1997"
"172","1030","classic","14/12/1998"
"173","1031","classic","21/6/1998"
"174","1039","junior","4/12/1994"
"175","1040","classic","3/1/1997"
"176","1049","classic","25/4/1998"
"177","1056","classic","19/11/1998"
"178","1057","classic","21/11/1998"
"179","1059","classic","10/8/1998"
"180","1062","classic","29/9/1998"
"181","1066","classic","19/8/1994"
"182","1067","gold","31/8/1997"
"183","1080","classic","8/5/1996"
"184","1089","gold","3/6/1997"
"185","1098","classic","7/9/1997"
"186","1133","gold","12/5/1998"
"187","1140","classic","7/9/1997"
"188","1146","classic","19/6/1994"
"189","1157","classic","19/2/1997"
"190","1165","classic","23/9/1997"
"191","1168","junior","2/4/1998"
"192","1169","classic","8/6/1998"
"193","1179","gold","21/9/1998"
"194","1182","classic","13/1/1997"
"195","1194","classic","3/2/1997"
"196","1197","classic","22/12/1998"
"197","1202","junior","21/10/1996"
"198","1211","junior","18/3/1998"
"199","1213","classic","7/2/1997"
"200","1220","gold","9/12/1997"
"201","1223","classic","8/12/1998"
"202","1228","classic","4/2/1996"
"203","1231","classic","16/9/1998"
"204","1239","junior","30/5/1996"
"205","1242","classic","16/11/1998"
"206","1243","classic","22/9/1997"
"207","1244","classic","25/5/1998"
"208","1246","gold","8/2/1995"
"209","1251","classic","31/7/1998"
"210","1253","classic","16/2/1997"
"211","1271","classic","10/6/1997"
"212","1280","classic","24/5/1998"
"213","1289","gold","11/6/1997"
"214","1292","classic","24/1/1998"
"215","1296","classic","2/3/1998"
"216","1310","junior","24/4/1996"
"217","1316","classic","9/11/1998"
"218","1322","classic","18/5/1998"
"219","1329","classic","4/12/1998"
"220","1333","classic","13/10/1996"
"221","1339","classic","10/8/1998"
"222","1345","classic","19/6/1997"
"223","1353","classic","18/4/1995"
"225","1359","classic","3/3/1998"
"226","1378","classic","18/4/1997"
"227","1380","classic","10/8/1996"
"228","1382","junior","15/3/1998"
"229","1384","classic","5/4/1996"
"230","1388","gold","25/10/1998"
"231","1390","junior","29/9/1998"
"232","1396","classic","1/5/1997"
"233","1418","classic","7/7/1998"
"234","1424","classic","29/9/1997"
"235","1438","classic","2/5/1998"
"236","1440","junior","29/1/1998"
"237","1445","classic","25/11/1997"
"238","1452","gold","17/8/1997"
"239","1453","gold","24/8/1998"
"240","1459","classic","23/12/1998"
"241","1461","classic","20/6/1997"
"242","1473","classic","24/9/1998"
"243","1478","classic","13/12/1996"
"244","1480","classic","16/3/1998"
"245","1483","classic","8/10/1998"
"246","1492","classic","8/2/1998"
"247","1500","junior","8/10/1997"
"248","1512","classic","1/3/1998"
"249","1517","classic","6/2/1998"
"250","1522","classic","30/6/1998"
"251","1525","classic","23/10/1997"
"252","1529","classic","2/9/1997"
"253","1536","gold","14/11/1998"
"254","1578","classic","11/11/1997"
"255","1579","gold","1/10/1998"
"256","1583","classic","26/5/1997"
"257","1589","classic","20/11/1998"
"258","1607","classic","26/1/1997"
"259","1610","classic","5/9/1997"
"260","1616","classic","5/7/1998"
"261","1629","gold","9/11/1995"
"262","1647","junior","24/8/1995"
"263","1668","gold","17/4/1998"
"264","1669","classic","7/10/1998"
"265","1680","classic","28/6/1996"
"266","1690","classic","4/3/1997"
"267","1691","junior","9/3/1996"
"268","1707","gold","11/12/1997"
"269","1718","gold","22/3/1998"
"270","1736","junior","17/6/1997"
"272","1754","junior","28/10/1996"
"273","1758","classic","7/11/1997"
"274","1759","classic","21/1/1998"
"275","1762","classic","20/5/1997"
"276","1765","classic","7/3/1998"
"277","1777","gold","12/7/1998"
"278","1779","classic","15/8/1996"
"279","1791","classic","21/9/1997"
"280","1793","classic","22/6/1997"
"281","1795","classic","22/12/1997"
"282","1799","gold","13/12/1997"
"283","1800","classic","25/2/1998"
"284","1807","classic","7/5/1998"
"285","1811","gold","10/9/1998"
"286","1812","gold","21/4/1996"
"287","1819","junior","28/6/1997"
"288","1826","classic","10/10/1998"
"289","1831","junior","8/4/1996"
"290","1833","classic","24/3/1998"
"291","1836","classic","29/9/1998"
"292","1842","gold","18/1/1997"
"293","1850","classic","17/2/1997"
"294","1861","classic","4/12/1996"
"295","1864","classic","26/10/1998"
"296","1876","gold","13/11/1995"
"297","1883","classic","15/6/1997"
"298","1885","classic","17/1/1997"
"299","1886","classic","25/10/1998"
"300","1890","classic","20/11/1996"
"301","1899","classic","7/7/1998"
"302","1900","classic","31/3/1996"
"303","1912","classic","1/8/1996"
"304","1913","classic","6/1/1998"
"305","1914","classic","23/5/1997"
"306","1929","classic","11/12/1998"
"307","1930","gold","5/9/1998"
"308","1938","classic","30/7/1998"
"309","1946","classic","19/9/1994"
"310","1947","junior","23/12/1998"
"311","1954","classic","1/7/1997"
"312","1971","classic","8/6/1996"
"313","1980","classic","17/6/1996"
"314","1999","junior","27/1/1995"
"315","2005","junior","24/3/1998"
"316","2013","classic","17/6/1997"
"317","2015","classic","10/6/1998"
"319","2038","junior","2/8/1998"
"320","2045","classic","11/7/1996"
"321","2058","gold","16/8/1998"
"322","2063","classic","28/12/1998"
"323","2065","junior","24/7/1998"
"324","2074","classic","19/2/1997"
"325","2102","classic","12/1/1997"
"326","2104","classic","14/12/1997"
"327","2117","classic","3/10/1997"
"328","2121","junior","12/9/1998"
"329","2122","gold","19/11/1997"
"330","2124","classic","11/4/1998"
"331","2125","gold","1/5/1998"
"332","2126","classic","19/6/1998"
"333","2128","classic","4/11/1998"
"334","2133","classic","13/3/1998"
"335","2137","classic","25/9/1998"
"336","2138","junior","9/10/1998"
"337","2141","classic","1/1/1996"
"338","2146","classic","16/4/1998"
"339","2154","classic","19/10/1998"
"340","2155","classic","25/1/1998"
"341","2156","gold","6/12/1998"
"342","2157","classic","27/9/1995"
"343","2164","classic","21/9/1997"
"344","2168","classic","27/7/1998"
"345","2175","classic","7/11/1998"
"346","2177","classic","14/8/1998"
"347","2184","classic","11/2/1997"
"348","2203","classic","2/2/1998"
"349","2214","classic","26/5/1997"
"350","2226","classic","20/4/1997"
"351","2232","classic","1/11/1998"
"352","2235","classic","11/9/1998"
"353","2259","classic","11/6/1997"
"354","2265","gold","30/6/1998"
"355","2267","classic","28/8/1997"
"356","2268","classic","13/9/1997"
"357","2277","junior","29/9/1998"
"358","2287","junior","23/5/1998"
"359","2299","classic","29/10/1997"
"360","2308","classic","24/2/1998"
"361","2312","classic","23/9/1998"
"362","2320","gold","21/6/1998"
"363","2324","junior","11/12/1996"
"364","2329","classic","29/2/1996"
"365","2332","classic","23/6/1998"
"366","2335","classic","9/10/1998"
"367","2343","classic","27/8/1998"
"368","2361","classic","10/1/1998"
"369","2363","classic","8/11/1994"
"370","2374","classic","3/4/1998"
"371","2388","gold","13/12/1998"
"372","2395","classic","31/3/1996"
"373","2401","classic","18/11/1997"
"374","2423","classic","8/11/1996"
"375","2425","junior","17/5/1997"
"376","2428","classic","10/11/1994"
"377","2429","classic","3/3/1994"
"378","2430","classic","11/12/1998"
"379","2431","classic","12/1/1996"
"380","2434","classic","15/12/1997"
"381","2440","classic","27/10/1996"
"382","2445","gold","22/11/1997"
"383","2469","classic","30/7/1997"
"384","2475","junior","15/9/1994"
"385","2476","classic","12/10/1998"
"386","2478","classic","14/8/1998"
"387","2481","classic","18/4/1997"
"388","2488","junior","26/11/1998"
"389","2489","gold","19/9/1998"
"390","2490","classic","14/10/1996"
"391","2493","classic","24/2/1998"
"392","2496","classic","22/11/1998"
"393","2498","junior","3/12/1995"
"394","2501","classic","5/10/1998"
"395","2502","classic","24/8/1998"
"396","2508","classic","26/7/1998"
"397","2513","classic","24/6/1995"
"398","2522","classic","14/2/1998"
"399","2527","classic","22/5/1997"
"400","2529","classic","6/4/1997"
"401","2532","classic","19/1/1998"
"402","2536","classic","3/9/1998"
"403","2538","junior","12/7/1997"
"404","2540","junior","12/11/1998"
"405","2542","classic","31/8/1998"
"406","2548","classic","16/8/1998"
"407","2555","classic","11/7/1996"
"408","2560","classic","10/12/1996"
"409","2562","classic","16/11/1998"
"410","2569","classic","20/7/1995"
"411","2572","classic","15/7/1998"
"412","2585","classic","9/5/1998"
"413","2592","junior","20/7/1997"
"414","2606","classic","26/9/1998"
"415","2609","classic","25/5/1998"
"416","2616","classic","1/10/1998"
"417","2619","classic","30/3/1998"
"418","2623","classic","14/4/1995"
"419","2626","classic","28/2/1998"
"421","2644","classic","27/4/1998"
"422","2650","junior","11/7/1995"
"423","2657","classic","19/2/1996"
"424","2659","classic","6/11/1998"
"425","2662","junior","4/9/1998"
"426","2686","classic","9/5/1997"
"427","2688","gold","25/1/1996"
"428","2698","classic","13/10/1997"
"429","2709","classic","5/11/1998"
"430","2713","classic","26/5/1997"
"431","2715","gold","12/9/1997"
"433","2724","classic","12/12/1996"
"434","2739","classic","30/12/1997"
"435","2740","classic","15/7/1998"
"436","2759","classic","9/10/1997"
"437","2762","classic","1/6/1994"
"438","2768","classic","30/10/1997"
"439","2779","classic","23/7/1998"
"440","2782","classic","7/7/1998"
"441","2785","classic","5/11/1996"
"442","2796","classic","26/12/1998"
"443","2808","classic","29/6/1997"
"444","2815","gold","3/4/1998"
"445","2820","gold","19/11/1998"
"446","2841","classic","4/6/1998"
"447","2845","classic","7/10/1998"
"448","2864","classic","29/4/1998"
"449","2865","classic","28/10/1998"
"450","2880","classic","7/7/1998"
"451","2888","junior","16/4/1998"
"452","2910","classic","19/12/1998"
"453","2911","gold","12/7/1998"
"454","2921","classic","1/8/1997"
"455","2924","classic","13/11/1998"
"456","2929","classic","16/5/1998"
"457","2948","junior","16/5/1998"
"458","2951","gold","14/5/1998"
"459","2958","gold","11/2/1998"
"460","2971","classic","5/10/1998"
"461","2977","gold","21/8/1998"
